Column_Name,Variable Type,pre/post,Priority,Adobe Variable Name,Description,example,data type,Use instead,Dynamic Pricing,Transformation,Transformations,Transformation Type,Extended Column Type,New Column 1,New Column 2,New Column 3,New Column 4,New Column 5,New Column 6,New Column 7
accept_language,standard,,1,,The accept language header from the browser.,en-us,String (255 characters),,,,,,,,,,,,,
browser,standard,,1,,The browser ID (has lookup table) used for the hit. ,651211754,32-bit unsigned integer,,,Feed Lookup,,,,,,,,,,
browser_height,standard,pre,,,Height in pixels of browser window.,460,32-bit unsigned integer,post_browser_height,,,,,,,,,,,,
browser_width,standard,pre,,,Width in pixels of browser window.,320,32-bit unsigned integer,post_browser_width,,,,,,,,,,,,
c_color,standard,,,,Color depth as generated from JavaScript.,32,String (255 characters),,,,,,,,,,,,,
campaign,standard,pre,1,,The campaign value passed in on the hit. Use post_campaign.,AdieEmail_MKTG-_-Newsletter-_-Originals_Core_20161118_BestSellers-_-women,String (255 characters),post_campaign,,,,,,,,,,,,
carrier,standard,,,,mobile carrier (requries lookup file?),myvzw.com:verizon wireless,"String (100), Media Optimizer solution variable",,,,,,,,,,,,,
channel,standard,pre,1,,Custom traffic variable for site sections (channels).,CART,String (100 characters),post_channel,,,,,,,,,,,,
click_action,standard,,,,Visitor click map information. This information is what is contained in the address of the link the user clicked on (URL / JS function, etc.),Apply,String (255 characters),,,,,,,,,,,,
click_action_type,standard,,,,Visitor click map information. The type of link clicked on.,3,8-bit unsigned integer,,,,,,,,,,,,,
click_context,standard,,,,Visitor click map information. This is the pagename (or URL if no pagename is declared) for the page on which the link click occurred,CART|EMPTY CART,String (255 characters),,,,,,,,,,,,,
click_context_type,standard,,,,Visitor click map information. The type of click_context (indicates whether the pagename or URL was used),1,8-bit unsigned integer,,,,,,,,,,,,,
click_sourceid,standard,,,,Visitor click map information. This is the numeric ID for the location on the page where the link is located,0,32-bit unsigned integer,,,,,,,,,,,,,
click_tag,standard,,,,Visitor click map information. The type of link or form element that was clicked on.,SUBMIT,String (255 characters),,,,,,,,,,,,,
code_ver,standard,,,,The version of code in the JS file creating the image request.,JS-1.6,String (255 characters),,,,,,,,,,,,,
color,standard,,,,Color depth ID (has lookup table) that we ended up using for the hit.,1,32-bit unsigned integer,,,Feed Lookup,,,,,,,,,,
connection_type,standard,,,,Connection type ID (has lookup table).,2,8-bit unsigned integer,,,Feed Lookup,,,,,,,,,,
cookies,standard,pre,,,Specifies whether JavaScript session cookie is accepted.,Y,string (1 character),post_cookies,,,,,,,,,,,,
country,standard,,1,,Country ID captured by Adobe and not customised (has lookup table) ,304,32-bit unsigned integer,,,Feed Lookup,,,,,,,,,,
ct_connect_type,standard,,,,Connection type of the browsers computer.,,String (255 characters),,,,,,,,,,,,,
curr_factor,standard,,,,How the currency rate is stored.,2,8-bit unsigned integer,,,,,,,,,,,,,
curr_rate,standard,,1,,Current exchange rate when the transaction occurred.,0,85492349,Decimal (24 significant digits,12 digits after the decimal point ),,,,,,,,,,,
currency,standard,pre,,,Type of currency for the transaction.,GBP,String (3 characters),post_currency,,,,,,,,,,,,
cust_hit_time_gmt,standard,pre,,,"(timestamp-enabled report suites only) The timestamp sent with the hit. This ""timestamp"" is in Unix time (number of seconds since Jan 1, 1970.)",0,32-bit unsigned integer,post_cust_hit_time_gmt,,,,,,,,,,,
cust_visid,standard,pre,,,A visitor ID passed in with the hit to be used as the visitor ID for the hit (instead of using visid_high and visid_low),,String (255 characters),post_cust_visid,,,,,,,,,,,,
daily_visitor,standard,,,,A flag to determine if current hit is a new daily visitor.,1,8-bit unsigned integer,,,,,,,,,,,,,
date_time,standard,,1,,The time in readable format in Time Zone specified by Report Suite ID. Set by Adobe servers. Adobe servers combine post_cust_hit_time_gmt and the report suite's time zone to create date_time. hit_time is in the timezone of the report suite,19.11.16 15:35,datetime,,Y,Y,Extract just the date,Parse,Dimension,date,?,,,,,
domain,standard,,,,Domain of users ISP.,virginm.net,String (255 characters),,,,,,,,,,,,,
duplicate_events,standard,,,,Lists each event that was counted as a duplicate.,218,String (255 characters),,,,,,,,,,,,,
duplicate_purchase,standard,,,,A flag indicating that the purchase event for this hit should be ignored because it is a duplicate. It has a value 1 if the purchase is duplicate else has a value 0,0,8-bit unsigned integer,,Y,,used to filter duplicate purchase,,,,,,,,,
duplicated_from,standard,,,,The Report suite from which the hit was duplicated,0,String (40 bytes),,,,,,,,,,,,,
evar1,custom,pre,,Page Name (v1),The name of the page where the current user activity was tracked by Adobe Analytics. It is used for analyzing the traffic, engagements and conversions of each page and has values as defined by adidas. This value gets a new value in each user activity and previous value gets expired simultaneously,CART|EMPTY CART,,post_evar1,,,,,,,,,,,
evar10,custom,pre,,Customer ID [eUCI] (v10),"It is an ID set to a customer based on a login or purchase, but cannot lead back to PII. It helps analyse how ""known customers"" behave on our website cross visit. It changes whenever another customer login on the device. ",ZQJAJ1YPCRMPGB6A,,post_evar10,,,,,,,,,,,,
evar11,custom,pre,,Login Status (v11),"User Login status. If the user is logged in, it has a value ""Logged in"" else it has a value "" Anonymous"". This value is persisted throughout the visit unless and until it is overwritten by a new value. The persisted value can be seen in post_eVar11 column",ANONYMOUS,,post_evar11,,,,,,,,,,,,
evar12,custom,pre,,Internal Search Term (v12),"Search Term. It has the values formatted in 3 parts "" <actual search query>|<search type>|<matched suggestion>"".  It is used to analyze what all products are being searched for on the website. Also, it is useful in tracking purchase (if any) after the searches . This value gets persisted unless and until it is overwritten by a new value or user makes a purchase. The persisted value can be seen in post_eVar12 column",NMD|TOP RIGHT-SEARCH-QUERY|NMD,,post_evar12,,,,,,,,,,,
evar13,custom,pre,,Internal Search Type (v13),The location and kind of search performed. It has values like  TOP-RIGHT-SEARCH-QUERY, MIDDLE-SEARCH-SUGGESTION etc. This value gets persisted unless and until it is overwritten by a new value or user makes a purchase. The persisted value can be seen in post_eVar13 column,MIDDLE-SEARCH-QUERY ,,post_evar13,,,,,,,,,,,
evar14,custom,pre,,Number of Results (v14),It contains the number of results shown based on a search. It help analyse the behavior of customers based on the results they received based on a search. ,12,,post_evar14,,,,,,,,,,,,
evar15,custom,pre,,Filter List (v15),"It collects the list of filters being used by the user while searching for the product. Each element in the list is separated by a pipe ( ""|"" ). Every element collects the type of filter and the value of filter. Eg. F1-SPORT:FOOTBALL|F2-CATEGORY:SHOES shows that 2 filters were used namely sport and category and values chosen for each filter was Football and Shoes respectively. This value gets persisted unless and until it is overwritten by a new value or user makes a purchase. The persisted value can be seen in post_eVar15 column",F1-SPORT:FUSSBALL|F2-CATEGORY:FITNESS & TRAINING-CLOTHING,,post_evar15,,,,,,,,,,,,
evar16,custom,pre,,Sort Applied (v16),It contains the information on sorting applied by the user while searching for the products on the website. It is used to analyze the user behavior while searching the product. This value gets persisted unless and until it is overwritten by a new value or user makes a purchase. The persisted value can be seen in post_eVar16 column,PRICE-LOW-TO-HIGH,,post_evar16,,,,,,,,,,,,
evar17,custom,pre,,Breadcrumb (v17),It collects the breadcrumb of the page. This help analyse how visitors found the page. In the current configuration is does not represent the sequence, but more the end result. ,BC1:HOME|BC2:MEN,,post_evar17,,,,,,,,,,,
evar18,custom,pre,,Product Gender (v18),It contains the gender of the products listed either on PLP and PDP pages. It used to identify what gender related products are viewed during a visit. It changes based on the type of product(s) shown on the page. ,MEN,,post_evar18,,,,,,,,,,,,
evar19,custom,pre,,Product Category (v19),It collects the category of products listed on either PLP or PDP page. It used to analyse what categories a customer visited. It changes on the moment another category is viewed by the customer. ,"SHOES CLOTHING",,post_evar19,,,,,,,,,,,,
evar2,custom,pre,,Site Section (v2),It is the name of the section a visited page belongs to. It is used to analyse the section visited by our customers. This value gets a new value on the moment a customers visits a new site section,MEN|SHOES,,post_evar2,,,,,,,,,,,,
evar20,custom,pre,,Product Type (v20),It contains the type of products displayed on the PLP and PDP page. It used to analyse the type of products a customer visits. It changes when a customer views another product type,SHIRTS,,post_evar20,,,,,,,,,,,,
evar21,custom,pre,,Product Sport (v21),It collects the sport category of a product on PLP and PDP pages. It used to analyse the interest in different sport types. The value changes whenever the customer changes the sport category of products,FOOTBALL,,post_evar21,,,,,,,,,,,,
evar22,custom,pre,,Product Brand (v22),It contains the product brand of products on PLP and PDP a customer is viewing. It used to analyse the brands a customer is interested in. The value changes on the moment a customer visits a product to another brand,NEO,,post_evar22,,,,,,,,,,,,
evar23,custom,pre,,Product Collection (v23),It collects the product collection of products on PLP and PDP a customer is viewing. It used to analyse the collections a customer is interested in. The value changes on the moment a customer visits a product to another collection. ,MESSI,,post_evar23,,,,,,,,,,,,
evar24,custom,pre,,Video Name|Category (v24),It contains the name of the video and the video category the video belongs to. It used to analyse what videos customers viewed and to what category the video belonged. ,NO NAME|ORIGINALS_HOME,,post_evar24,,,,,,,,,,,,
evar25,custom,pre,,Order ID (v25),"It is an alphanumeric unique key assigned to every {purchase} made on adidas and reebok websites. It is used as a  unique identifier of a purchase being made on website. It gets a new value every time a purchase is made on the website and this value get expired after the purchase. The Order ID is divided into 3 parts: the first character is ""A"" or ""R"" depending on whether the purchase was done on  Adidas or Reebok site. The next two characters determine the country eg UK - United Kingdom, CA - Canada. the rest of the characters is a unique number assigned to every purchase",AUK04294593,,post_evar25,,,,,,,,,,,
evar26,custom,pre,,Order Product Mix (v26),It contains the product type of inline and mi adidas products. It used to analyse the type of product customers viewed or bought. The value changes on the moment they view another product type. ,"INLINE MIADIDAS",,post_evar26,,,,,,,,,,,,
evar27,custom,pre,,Customer City:State:Country [Billing] (v27),It contains the city, state and country that’s collected on the billing page. It used to analyse data on geography. I changes on the moment new billing data is used. ,HAMBURG:NONE:DE,,post_evar27,,,,,,,,,,,
evar28,custom,pre,,Payment Type (v28),It contains the type of payment used to pay for the order. It used to analyse what payment types are being used on the website,CREDIT_CARD,,post_evar28,,,,,,,,,,,,
evar29,custom,pre,,Promo Code (v29),It collects the promocode when an order is placed on the website. It used to analyse what promocodes are used and revenue attributed to it. ,ADI-MEMBER-B9VLX,,post_evar29,,,,,,,,,,,,
evar3,custom,pre,,Page Type (v3),It is a category of the page where user activity was tracked by Adobe Analytics. It is used for analyzing the overall performance of each category and has value like PDP, PLP, Home, Search, Help, Configurator etc . This value gets a new value in each user activity and previous value gets expired simultaneously,PDP,,post_evar3,,,,,,,
evar30,custom,pre,,Checkout Type (v30),It contains the type of checkout a customer used making a purchase. It used to analyse how customer checkout. ,GUEST CHECKOUT,,post_evar30,,,,,,,,,,,,
evar31,custom,pre,,Delivery Method (v31),Collects the delivery method used for checkout. Used to analyse the delivery methods used. ,STANDARD,,post_evar31,,,,,,,,,,,,
evar32,custom,pre,,Site Promotion ID (v32),This contains the value of {Internal Campaigns} through which visitor navigated to the desired page . This is used to determine which Internal campaigns are commercially successful and which are not. If user reached the desired page through the internal campaigns, it will contain the value of campaign ID. This value gets persisted unless and until it is overwritten by a new value or user makes a purchase. The persisted value can be seen in post_eVar32 column,default-_--_-certona-top_pdp-recommendations-_-,,post_evar32,,,,,,,,,,,
evar33,custom,pre,,Navigation Element (v33),Contains the elements of navigation used to reach a specific page. This used for analysing the navigation elements used for customers. ,header-_-customerinfo-_-mein konto,,post_evar33,,,,,,,,,,,,
evar34,custom,pre,,Certona Recommendations Carousel (v34),This contains the value of {Certona Recommendation location} through which visitor navigated to the desired page . This is used to determine which locations of certona recommendations are commercially successful and which are not. If user reached the desired page through the certona campaigns, it will contain the value of location. This value gets persisted unless and until it is overwritten by a new value or user makes a purchase. The persisted value can be seen in post_eVar34 column,product_rr|1,,post_evar34,,,,,,,,,,,
evar35,custom,pre,,Product Finding Method (v35),Collects the product finding method used by a customer. used to analyse the PFM used by customers. ,"SITE NAVIGATION INTERNAL SEARCH",,post_evar35,,,,,,,,,,,,
evar36,custom,pre,,Add to Cart Location (v36),This collects the location where a cart was performed. ,PDP,,post_evar36,,,,,,,,,,,,
evar37,custom,pre,,PLP Attributes (v37),It contains final details for the attributes (banner, promotion, wallpaper, filter) of the page where products are listed,  derived after applying {persistence}, {processing} and {vista rules}.  It has the value OFF or ON for each of the 4 attributes. It is used to analyze which combination of attributes contribute more towards revenue. This value gets persisted through eVa37 unless and until it is overwritten by a new value or user makes a purchase. It is the source of PLP attributes report (eVar37) in Adobe Analytics,BANNER: OFF|PROMO: OFF|WALLPAPER: OFF|FILTER: ON,,post_evar37,,,,,,,
evar38,custom,pre,,Model ID (v38),Collects the Model ID on the PDP page. used for merchandising analysis. ,IET56,,post_evar38,,,,,,,,,,,,
evar39,custom,pre,,Article ID [Long] (v39),This contains the Article ID plus size. This used to analyse the correlation of products and sizes. ,BA8842_580,,post_evar39,,,,,,,,,,,,
evar4,custom,pre,,Previous Page (v4),"It is a final value for name of the page of the website from where user navigated to current page derived after applying {persistence}, {processing} and {vista rules}. If user has just entered the website, then eVar4 will contain ""No Value"" as a value. This is due to the fact that there was no page before the current page. It is used to analyze the user navigation on the website. This is a persisted value of eVar4 which gets a new value in each user activity and previous value gets expired simultaneously. It is the source of Previous Page report (eVar4) in Adobe Analytics",SHOPPING CART|CART,,post_evar4,,,,,,,,,,,,
evar40,custom,pre,,Product Availability (v40),It collects the availability of the product and will report if products are in or out of stock,IN STOCK,,post_evar40,,,,,,,,,,,,
evar41,custom,pre,,Product Personalisation Applied (v41),Will report if a product is personalized. used to analyse the rate of personalized.  ,NO,,post_evar41,,,,,,,,,,,,
